--------- beginning of system 
12-27 11:28:13.218   982   982 I Leopard : ** build version : [20221118104802] ** 
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): lge.bootmode= doesn't exist in [/proc/cmdline] 
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): find [lge.bootmode=] in [/tmp/bootmode_cmd] 
12-27 12:23:47.756   977  1668 E SPIClient_can: CB_2
12-27 12:23:47.759  1542 15065 I DiagManagerService: onWatchDog Kick
12-27 12:23:48.002  1539 15094 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:23:48.006   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 17 31]
12-27 12:23:48.007  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:23:48.007  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x17][x31]...
12-27 12:23:48.007  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x17][x31]...
12-27 12:23:48.007  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:23:48.007  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:23:48.007  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x17][x31]
12-27 12:23:48.007  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:23:48.162   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:23:48.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:23:48.163   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:23:49.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:23:52.310   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 07 08 53 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:23:52.505   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:23:52.766   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:23:52.766   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:23:52.766   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:23:52.766   977  1668 E SPIClient_can: CB_2
12-27 12:23:53.177   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 2D 00 00 00 0F]
12-27 12:23:55.310   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:23:55.540   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:23:55.551   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:23:55.551  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:23:55.551  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:23:55.551  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:23:55.551  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:23:55.551  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:23:55.551  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:23:55.562   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:23:55.981   991  1508 E CommunicationManagerService: KICK DOG(335)
12-27 12:23:56.476  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.030000] bubTemp [30]
12-27 12:23:57.759  1542 16235 I DiagManagerService: onWatchDog Kick
12-27 12:23:57.777   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:23:57.777   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:23:57.777   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:23:57.777   977  1668 E SPIClient_can: CB_2
12-27 12:23:58.002  1539 16264 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:23:58.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:23:58.161   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:23:58.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:23:58.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 1B 00 08 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:23:58.606   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 18 00]
12-27 12:23:58.606  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:23:58.606  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x18][x00]...
12-27 12:23:58.607  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x18][x00]...
12-27 12:23:58.607  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:23:58.607  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:23:58.607  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x18][x00]
12-27 12:23:58.607  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:23:59.102   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:24:01.313   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:02.786   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:24:02.786   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:24:02.786   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:24:02.786   977  1668 E SPIClient_can: CB_2
12-27 12:24:03.177   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 37 00 00 00 05]
12-27 12:24:04.126 16959 16959 V ProcessState: Spawning new pooled thread, name=Binder_1
12-27 12:24:04.127 16959 16975 V ProcessState: Spawning new pooled thread, name=Binder_2
12-27 12:24:04.127 16959 16959 I sldd    : command : argv:can
12-27 12:24:04.129   993  1700 E CRH     : Rx_61_1
12-27 12:24:04.129 16959 16959 I sldd_cmd: can setCanData -n BrakeFluidLevelWarning2 1 
12-27 12:24:04.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:05.542   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:24:05.564   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:24:05.564  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:24:05.564  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:24:05.564  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:24:05.564  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:24:05.564  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:24:05.564  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:24:05.566   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:24:05.615 17132 17132 V ProcessState: Spawning new pooled thread, name=Binder_1
12-27 12:24:05.617 17132 17149 V ProcessState: Spawning new pooled thread, name=Binder_2
12-27 12:24:05.618 17132 17132 I sldd    : command : argv:can
12-27 12:24:05.618   993  1700 E CRH     : Rx_61_0
12-27 12:24:05.618 17132 17132 I sldd_cmd: can setCanData -n BrakeFluidLevelWarning2 0 
12-27 12:24:05.619 26410 26410 V RVM_App : CAN updated [BrakeFluidLevelWarning2] [0]
12-27 12:24:05.619 26410 26457 D RVM_Main: [alertMessage:1692] AlertMessage
12-27 12:24:05.619 26410 26457 D RVM_Main: [alertMessage:1726] listCanDataValueCur = 61
12-27 12:24:05.619 26410 26457 D RVM_Main: [alertMessage:1727] getRemainingTimeMs = 0
12-27 12:24:05.619 26410 26457 D RVM_Main: [alertMessage:1728] isAlertDelayMsTimeOut = 0
12-27 12:24:05.620   980  1514 I ConfigDbClient: ReadKv, Key:0x00000147, token[409]
12-27 12:24:05.620   980  1514 I CSE_ConfigDb: received msg from teleVM:3 0x00000147, token:409
12-27 12:24:05.620   980  1501 I CSE_ConfigDb: CONFIGDB_CB_CMD_READ_KV
12-27 12:24:05.628   980  1501 I CSE_ConfigDb: read_data_db[lcf_table_remote] : key:0x00000147 value:10000 status:0 CseEr_GetErrorCode:0 sql_status:0 token:409
12-27 12:24:05.628   980  1514 I ConfigDbClient: == wait for ReqKey:0x00000147, Req token[409]
12-27 12:24:05.628   980  1514 I ConfigDbClient: ==> [Req:Resp] table[lcf_table_remote] key[0x00000147:0x00000147], value[10000], token[409:409]
12-27 12:24:05.630   981   981 I <VSM>VehicleStatusManagerService: Query kvDB (RdAlertDelayMs)[lcf_table_remote:0x00000147] success. value(10000)
12-27 12:24:05.631 26410 26457 D RVM_Main: [alertMessage:1736] RdAlertDelayMs timer started to delay in miliseconds between detection of a RVM alert status change and the change being transmitted to TSP 1
12-27 12:24:05.631 26410 26457 D RVM_Main: [alertMessage:1743] RdAlertMCUReqTimer timer started to delay 1
12-27 12:24:05.703   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:24:05.981   991  1508 E CommunicationManagerService: KICK DOG(336)
12-27 12:24:06.478  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.050000] bubTemp [30]
12-27 12:24:07.226 17331 17331 V ProcessState: Spawning new pooled thread, name=Binder_1
12-27 12:24:07.228 17331 17348 V ProcessState: Spawning new pooled thread, name=Binder_2
12-27 12:24:07.228 17331 17331 I sldd    : command : argv:can
12-27 12:24:07.229 17331 17331 I sldd_cmd: can setCanData -n BrakeFluidLevelWarning2 1 
12-27 12:24:07.229   993  1700 E CRH     : Rx_61_1
12-27 12:24:07.230 26410 26410 V RVM_App : CAN updated [BrakeFluidLevelWarning2] [1]
12-27 12:24:07.230 26410 26457 D RVM_Main: [alertMessage:1692] AlertMessage
12-27 12:24:07.230 26410 26457 D RVM_Main: [alertMessage:1726] listCanDataValueCur = 61
12-27 12:24:07.230 26410 26457 D RVM_Main: [alertMessage:1727] getRemainingTimeMs = 8400
12-27 12:24:07.230 26410 26457 D RVM_Main: [alertMessage:1728] isAlertDelayMsTimeOut = 0
12-27 12:24:07.310   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:07.759  1542 17416 I DiagManagerService: onWatchDog Kick
12-27 12:24:07.796   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:24:07.796   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:24:07.796   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:24:07.796   977  1668 E SPIClient_can: CB_2
12-27 12:24:08.002  1539 17445 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:24:08.162   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:24:08.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:24:08.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:24:08.172  1647  1699 E NetworkManagerService: rmnet_data0 | inbps=0 inpps=0 outbps=0 outpps=0
12-27 12:24:08.172  1647  1699 E NetworkManagerService: rmnet_data1 | inbps=0 inpps=0 outbps=0 outpps=0
12-27 12:24:09.205   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 18 0A]
12-27 12:24:09.206  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:24:09.206  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x18][x0A]...
12-27 12:24:09.206  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x18][x0A]...
12-27 12:24:09.206  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:24:09.206  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:24:09.206  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x18][x0A]
12-27 12:24:09.206  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:24:10.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 0C 08 54 00 00 00 01 00 01 00 01 00 01 00 02]
12-27 12:24:10.708   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[35, 00] Cmd[02, 00] PayloadLen[0021] Payload[42 55 42 20 44 54 43 33 3A 20 4F 50 45 4E 3A 31 20 53 79 73 48 57 3D 45 30 20 43 3A 32 39 20 31 0A]
12-27 12:24:10.713  1529  1558 E MCU     : BUB DTC3: OPEN:1 SysHW=E0 C:29 1
12-27 12:24:12.303   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:24:12.806   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:24:12.806   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:24:12.806   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:24:12.806   977  1668 E SPIClient_can: CB_2
12-27 12:24:13.178   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 01 00 00 00 3B]
12-27 12:24:13.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 03 08 53 00 01 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:13.631 26410 18099 V RVM_Main: [handlerFunction:283] handlerFunction() timer_id: 15
12-27 12:24:13.632 26410 18099 E APP     : [handlerFunction] m_Rd MCU request Timer is expired.
12-27 12:24:13.632 26410 18099 D RVM_Main: [handlerFunction:412] m_Rd MCU request Timer is expired.
12-27 12:24:13.633 26410 18099 D RVM_Main: [ReqCanSignalFromMCU:4471] List CanData Cur size 1
12-27 12:24:13.633 26410 18099 V RVM_App : [ReqCanSignalFromMCU:1062] ReqCanSignalFromMCU 61
12-27 12:24:13.634   993  1869 E CANManagerService: ISPI_ISPI_ReqCanSignalFromMCU() : signal idx[61]
12-27 12:24:13.635   977  1671 E SPIClient_can: getFrameIdSignalIndexInfo(): teleVmSigIdx(003D), frameId(012F), sigIdxFrame( 0)
12-27 12:24:13.635   977  1671 E SPIClient_can: CL-cse_il_can_receive_from_televm called :203
12-27 12:24:13.635   977  1671 E SPIClient_can: CL-CB_CMD_REQ_CAN_SIG_FROM_MCU
12-27 12:24:13.635   977  1671 E SPIClient_can: ISPI_ISPI_ReqCanSignalFromMCU(61)
12-27 12:24:13.636 26410 18099 E APP     : [ReqCanSignalFromMCU] ReqCanSignalFromMCU [61]
12-27 12:24:13.636 26410 18099 D RVM_Can : [ReqCanSignalFromMCU:551] ReqCanSignalFromMCU [61]
12-27 12:24:13.636 26410 18099 D RVM_Main: [ReqCanSignalFromMCU:4477] ReqCanSignalFromMCU 61
12-27 12:24:13.640   977  1684 E SPIClient_can: CL-ISPI_ISPI_ReqCanSignalFromMCU(012F, 00) succeed
12-27 12:24:13.640   977  1684 E SPIClient_can: CL-setSignal(): FrameID(012F), Index(0)
12-27 12:24:13.640   993  1700 E CRH     : Rx_61_1
12-27 12:24:15.543   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:24:15.550   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:24:15.551  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:24:15.551  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:24:15.551  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:24:15.551  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:24:15.551  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:24:15.551  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:24:15.561   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:24:15.631 26410 18329 V RVM_Main: [handlerFunction:283] handlerFunction() timer_id: 12
12-27 12:24:15.632 26410 18329 E APP     : [handlerFunction] RdAlertDelayMsTimer is expired.
12-27 12:24:15.632 26410 18329 D RVM_Main: [handlerFunction:393] RdAlertDelayMsTimer is expired.
12-27 12:24:15.632 26410 18329 D RVM_Main: [compareCanSignal:4489] compareCanSignal Sigid 61
12-27 12:24:15.633 26410 18329 D RVM_Main: [compareCanSignal:4490] compareCanSignal strValue = 1
12-27 12:24:15.633 26410 18329 E APP     : [storeAlertCANSignal] storeAlertCANSignal ,Sigid = 61, strValue = 1
12-27 12:24:15.633 26410 18329 D RVM_Main: [storeAlertCANSignal:1762] storeAlertCANSignal ,Sigid = 61, strValue = 1
12-27 12:24:15.633 26410 18329 E APP     : [alertBrakeFluidLevelWarningRX] alertMessage() brakeFluidLevelWar2Value get value= [1]
12-27 12:24:15.634 26410 18329 D RVM_Main: [alertBrakeFluidLevelWarningRX:2052] alertMessage() brakeFluidLevelWar2Value get value= [1]
12-27 12:24:15.634 26410 18329 E APP     : [alertBrakeFluidLevelWarningRX] BrakeFluidLevelWarning is [disActive]
12-27 12:24:15.634 26410 18329 D RVM_Main: [alertBrakeFluidLevelWarningRX:2076] BrakeFluidLevelWarning is [disActive]
12-27 12:24:15.634 26410 18329 E APP     : [alertBrakeFluidLevelWarningRX] saved BrakeFluidLevelWarning was [disActived]
12-27 12:24:15.635 26410 18329 D RVM_Main: [alertBrakeFluidLevelWarningRX:2085] saved BrakeFluidLevelWarning was [disActived]
12-27 12:24:15.635 26410 18329 V RVM_VAQ : [GetVAQueueCount:80] GetVAQueueCount [0]
12-27 12:24:15.636 26410 18329 E APP     : [DeQueueVA] dequeue vehicle alerts (Queue:0)
12-27 12:24:15.636 26410 18329 V RVM_VAQ : [GetVAQueueCount:80] GetVAQueueCount [0]
12-27 12:24:15.636 26410 18329 D RVM_VAQ : [DeQueueVA:122] dequeue vehicle alerts (Queue:0)
12-27 12:24:15.637 26410 18329 V RVM_VAQ : [GetVAQueueCount:80] GetVAQueueCount [0]
12-27 12:24:15.637 26410 18329 V RVM_VAQ : [DeQueueVA:138] Current Vehicle Alert of VAQueue is NULL
12-27 12:24:15.981   991  1508 E CommunicationManagerService: KICK DOG(337)
12-27 12:24:16.312   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 06 08 53 00 00 00 02 00 01 00 01 00 01 00 01]
12-27 12:24:16.480  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.040000] bubTemp [30]
12-27 12:24:17.759  1542 18591 I DiagManagerService: onWatchDog Kick
12-27 12:24:17.816   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:24:17.816   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:24:17.816   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:24:17.816   977  1668 E SPIClient_can: CB_2
12-27 12:24:18.002  1539 18620 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:24:18.162   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:24:18.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:24:18.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:24:18.903   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:24:19.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 1A 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:19.806   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 18 15]
12-27 12:24:19.806  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:24:19.806  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x18][x15]...
12-27 12:24:19.806  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x18][x15]...
12-27 12:24:19.806  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:24:19.806  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:24:19.806  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x18][x15]
12-27 12:24:19.806  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:24:22.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 0A 08 54 00 00 00 01 00 01 00 01 00 01 00 02]
12-27 12:24:22.826   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:24:22.826   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:24:22.826   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:24:22.826   977  1668 E SPIClient_can: CB_2
12-27 12:24:23.196   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 0B 00 00 00 31]
12-27 12:24:25.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:25.503   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:24:25.544   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:24:25.550   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:24:25.551  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:24:25.551  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:24:25.551  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:24:25.551  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:24:25.551  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:24:25.551  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:24:25.568   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:24:25.981   991  1508 E CommunicationManagerService: KICK DOG(338)
12-27 12:24:26.481  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.050000] bubTemp [30]
12-27 12:24:27.759  1542 19763 I DiagManagerService: onWatchDog Kick
12-27 12:24:27.836   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:24:27.836   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:24:27.837   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:24:27.837   977  1668 E SPIClient_can: CB_2
12-27 12:24:28.002  1539 19792 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:24:28.161   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:24:28.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:24:28.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:24:28.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:24:30.405   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 18 20]
